Date,EEM,EFA,IYR,LQD,VTI
2003-04-14,8.505464553833008,20.834178924560547,20.040634155273438,52.9437141418457,30.60186004638672
2003-04-15,8.60651969909668,21.119842529296875,20.126943588256836,53.04059600830078,30.800758361816406
2003-04-16,8.705893516540527,20.980283737182617,20.180252075195312,53.39899826049805,30.391887664794922
2003-04-17,8.768209457397461,21.28339195251465,20.368091583251953,53.28761291503906,30.863367080688477
2003-04-21,8.76484203338623,21.20924949645996,20.43154525756836,53.39899826049805,30.85601234436035
2003-04-22,8.794316291809082,21.5167236328125,20.710773468017578,53.423248291015625,31.485858917236328
2003-04-23,8.835579872131348,21.706445693969727,20.718385696411133,53.73319625854492,31.751079559326172
2003-04-24,8.661262512207031,21.536354064941406,20.548309326171875,54.048065185546875,31.49692153930664
2003-04-25,8.518097877502441,21.15473747253418,20.38078498840332,54.05287551879883,31.062267303466797
2003-04-28,8.658733367919922,21.529813766479492,20.309707641601562,54.08192443847656,31.611099243164062
2003-04-29,8.905474662780762,21.654111862182617,20.35793685913086,53.888187408447266,31.71424102783203
2003-04-30,8.880212783813477,21.765321731567383,20.15740394592285,54.27082443237305,31.765790939331055
2003-05-01,8.845684051513672,21.854732513427734,20.332550048828125,54.57490158081055,31.728981018066406
2003-05-02,8.9812650680542,22.04445457458496,20.512767791748047,54.389427185058594,32.17466735839844
2003-05-05,9.078112602233887,22.212360382080078,20.75138282775879,54.63340759277344,32.1562614440918
2003-05-06,9.124427795410156,22.68120574951172,20.8681583404541,54.921356201171875,32.37725830078125
2003-05-07,9.107584953308105,22.471860885620117,20.80976676940918,55.28741455078125,32.26674270629883
2003-05-08,9.027582168579102,22.133853912353516,20.888460159301758,55.2922477722168,31.93523597717285
2003-05-09,9.133688926696777,22.412982940673828,21.043296813964844,55.19462585449219,32.39567184448242
2003-05-12,9.260851860046387,22.591798782348633,21.208297729492188,55.384979248046875,32.78242111206055
2003-05-13,9.208641052246094,22.589618682861328,21.243833541870117,55.38981628417969,32.74559783935547
2003-05-14,9.162322998046875,22.596158981323242,21.152454376220703,55.633872985839844,32.62773132324219
2003-05-15,9.180853843688965,22.635412216186523,21.149911880493164,55.61433410644531,32.88555908203125
2003-05-16,9.187585830688477,22.91454315185547,21.289535522460938,55.985286712646484,32.8155632019043
2003-05-19,8.968634605407715,22.29522705078125,21.18544578552246,55.75585174560547,32.045745849609375
2003-05-20,9.013265609741211,22.517656326293945,21.38344383239746,55.92668533325195,32.01259994506836
2003-05-21,9.02084732055664,22.28432273864746,21.436752319335938,55.92668533325195,32.14520263671875
2003-05-22,9.102533340454102,22.583078384399414,21.65251350402832,56.302425384521484,32.35884094238281
2003-05-23,9.19600772857666,22.711740493774414,21.751510620117188,56.380523681640625,32.495147705078125
2003-05-27,9.525279998779297,22.908000946044922,21.723583221435547,56.185333251953125,33.1434211730957
2003-05-28,9.566540718078613,23.01702880859375,21.385984420776367,55.96086502075195,33.18024444580078
2003-05-29,9.579174995422363,23.126062393188477,20.977306365966797,56.36588668823242,33.12499237060547
2003-05-30,9.69033432006836,23.169687271118164,21.4113712310791,56.39027786254883,33.618568420410156
2003-06-02,9.760233879089355,23.385568618774414,21.520526885986328,56.151161193847656,33.75852966308594
2003-06-03,9.686126708984375,23.4422607421875,21.510358810424805,56.66677474975586,33.961124420166016
2003-06-04,9.810762405395508,23.584007263183594,21.870811462402344,56.74039840698242,34.44733810424805
2003-06-05,9.820867538452148,23.821701049804688,21.86827850341797,56.64708709716797,34.635196685791016
2003-06-06,9.912657737731934,23.965625762939453,22.08403778076172,56.74039840698242,34.55046844482422
2003-06-09,9.82760238647461,23.79335594177246,21.93935775756836,56.86314010620117,34.09004211425781
2003-06-10,9.928657531738281,23.98525047302246,22.147502899169922,57.30509948730469,34.40312957763672
2003-06-11,9.937078475952148,24.379959106445312,22.36072540283203,57.24124526977539,34.815673828125
2003-06-12,10.012027740478516,24.44537925720215,22.147502899169922,57.447505950927734,34.885658264160156
2003-06-13,10.008658409118652,24.303632736206055,21.806045532226562,57.6881217956543,34.54310989379883
2003-06-16,10.116450309753418,24.659080505371094,22.035236358642578,57.476985931396484,35.25033187866211
2003-06-17,10.324456214904785,24.709238052368164,21.88072967529297,57.29530334472656,35.305580139160156
2003-06-18,10.286561965942383,24.639450073242188,21.605180740356445,56.764976501464844,35.23189926147461
2003-06-19,10.286561965942383,24.34724998474121,21.63608169555664,56.86314010620117,34.69044494628906
2003-06-20,10.286561965942383,24.379959106445312,21.63092803955078,56.59309768676758,34.734649658203125
2003-06-23,10.033924102783203,24.109546661376953,21.339950561523438,56.877899169921875,34.23580551147461
2003-06-24,9.959815979003906,23.919830322265625,21.497032165527344,56.96139907836914,34.32818603515625
2003-06-25,10.042343139648438,23.682138442993164,21.615488052368164,56.67167282104492,34.10646438598633
2003-06-26,10.150980949401855,23.791173934936523,21.878154754638672,56.175682067871094,34.47596740722656
2003-06-27,10.103819847106934,23.612354278564453,21.867849349975586,56.028411865234375,34.184078216552734
2003-06-30,10.097084045410156,23.618892669677734,21.785444259643555,56.28863525390625,34.161895751953125
2003-07-01,10.206559181213379,23.758464813232422,22.042943954467773,55.983924865722656,34.40578842163086
2003-07-02,10.446563720703125,24.227304458618164,22.339086532592773,56.18146896362305,34.786376953125
2003-07-03,10.476037979125977,24.096466064453125,22.454973220825195,55.83574295043945,34.549896240234375
2003-07-07,10.735414505004883,24.539148330688477,22.635234832763672,55.56406021118164,35.215003967285156
2003-07-08,10.765728950500488,24.423566818237305,22.722789764404297,55.61349105834961,35.41825866699219
