,AGG,EMB,EWT,IVV,JNK,PFF,TLT,VGK,VNQ,VPL,VWO
2009-12-31,12.448731800644016,7.652800869534552,47.94820341478038,21.554411643184306,8.044012788477973,24.020070481255395,7.308106449279047,28.72472243273012,32.4091837477112,25.39562720206634,30.60415609632632
2010-01-29,11.88636144297516,7.4507337766043396,49.891970574673884,21.676441623832346,7.775271533523886,23.033521853687052,6.891175882101821,29.676006882561445,33.21677968747749,25.055272802879422,31.77399908614315
2010-02-26,12.05119580445528,7.469770554854873,51.976079841781086,21.348425813025493,7.846609961763869,22.566860387971467,7.024655800086021,30.31402909509595,31.959864896768533,24.884980393972402,31.68202862258461
2010-03-31,12.685514336234373,7.662483088873546,51.307998002933395,21.17628107506088,7.98279435991367,23.33593904032311,7.549215615200162,29.958418982370258,30.529816468987008,24.724552783558913,30.823580348509715
2010-04-30,12.693836333544176,7.702864767208408,51.18872157439951,21.055468359330714,7.918099033438079,23.56687742154138,7.382457124817813,31.46624602123454,28.788721424266896,25.259221907950486,31.210626037076672
2010-05-28,11.747566631954777,7.339341483530435,53.57626555887552,21.409721414533763,7.814054141104664,23.0467331214434,6.570438334175349,33.354804386709745,28.44868343622592,26.13750216159932,32.1469052884455
2010-06-30,11.374649605954811,7.062947636127785,53.54723431286356,22.268716990649956,7.630624099339609,22.29066915662188,6.119585742601246,33.41513109284185,29.57429176925738,26.426908356458657,31.852076962055328
2010-07-30,12.120919645531318,7.295004865697096,51.93702547710739,22.36933136191915,7.803825546190902,22.411021307593348,6.639654657961755,31.45116605594282,29.001696192373178,26.40805239273218,31.059732315248763
2010-08-31,11.79765335165967,7.010364087763923,52.34112096319771,23.074356859957298,7.726235026459228,21.596707410726765,6.039005490804897,32.49321314149307,28.960935444512803,26.681320002477666,31.423411685554978
2010-09-30,12.573234443285497,7.353368447101124,49.9811053379737,22.59897521789351,7.952588921519925,22.93311386005786,6.6029038961358415,31.127473597935314,29.546189319426528,26.35679422427931,30.058523236911494
2010-10-29,12.873046838275949,7.396397983189984,49.96031518001194,22.315455967038375,7.92401680432614,23.481253836960274,7.087397247940419,30.431615668898186,28.924940314736816,26.499807363461837,29.89488152144686
2010-11-30,12.776563237807437,7.616728227505776,48.50878827210376,21.978073325557926,7.950554734157893,23.254103024640642,7.095407813146401,32.488093205800176,29.00548943294888,25.916426679401525,30.28240692091041
2010-12-31,13.562344721967598,8.000700390768502,45.25339315741339,21.700783226626033,8.159348479083176,24.45097000286586,7.768273488880544,31.385672886373598,29.250355021424564,25.458162577438912,29.68090183960071
2011-01-31,13.666758028536227,8.139805591795897,45.70926292683372,21.358613690168124,8.056902832134714,24.44185529871568,8.070062295361032,30.47665815633874,28.523201716323765,25.663806547227754,30.95099167758172
2011-02-28,13.846504356003399,8.275917366539497,49.06026432435616,20.976380777449556,8.0777810270724,24.43285744030255,8.066843949159695,30.029154601622352,27.6798739607074,25.01009887694961,31.50337679525135
2011-03-31,13.858929576115429,8.138524378861051,48.599078155220255,20.948894107166815,8.069976580630678,24.166987949082653,8.053706380424716,30.30076231567342,28.09542845609706,26.573804357716696,29.828775975939845
2011-04-29,14.186825755948801,8.31968956324554,46.92858112329611,21.155612297651142,8.2584972883706,24.734550152535853,8.182095903135835,29.08525457902696,27.623590592691027,26.69188760000954,30.001861493083887
