Date,AGG,EMB,EWT,IVV,JNK,PFF,TLT,VGK,VNQ,VPL,VWO
2007-12-31,72.30123138427734,57.86034393310547,21.96078109741211,116.34627532958984,19.952482223510742,19.761524200439453,65.31977081298828,47.885799407958984,37.62416076660156,49.56977844238281,38.98294448852539
2008-01-02,72.64427947998047,57.94023895263672,21.17177391052246,114.89522552490234,19.99415397644043,20.33292007446289,66.26055145263672,47.70018768310547,37.50785827636719,49.24784469604492,38.87080764770508
2008-01-03,72.83723449707031,58.04302978515625,21.098716735839844,114.74461364746094,19.819101333618164,20.499588012695312,66.16930389404297,47.87301254272461,36.33860397338867,49.38685607910156,39.244564056396484
2008-01-04,72.9873046875,58.0715446472168,20.49965476989746,111.9537124633789,19.631540298461914,20.33292007446289,66.18326568603516,46.70817947387695,34.86325454711914,48.1210823059082,37.9476203918457
2008-01-07,73.08020782470703,58.202857971191406,20.105148315429688,112.45326232910156,19.744070053100586,20.371013641357422,66.4712142944336,46.68898391723633,35.187721252441406,48.033294677734375,38.246639251708984
2008-01-08,73.26603698730469,58.34558868408203,20.178205490112305,110.37590789794922,19.794097900390625,20.356727600097656,66.39391326904297,46.33697509765625,33.96950149536133,47.82111358642578,38.21672821044922
2008-01-09,73.09452056884766,58.2999267578125,20.86493492126465,111.83477783203125,19.602365493774414,20.38530921936035,66.52033233642578,46.40096664428711,34.569427490234375,48.838111877441406,39.14365768432617
2008-01-10,72.9444580078125,58.351287841796875,20.908769607543945,112.61972045898438,19.493986129760742,20.894826889038086,65.62165069580078,46.43937301635742,35.102012634277344,48.62593460083008,39.50619125366211
2008-01-11,73.25885772705078,58.14002990722656,20.587324142456055,111.25599670410156,19.414806365966797,21.037673950195312,66.13417053222656,45.59455490112305,35.10814666748047,47.638206481933594,38.57179260253906
2008-01-14,73.31604766845703,58.339881896972656,21.43477439880371,112.3897933959961,19.42313003540039,21.190061569213867,66.3798599243164,46.31776809692383,34.96120834350586,48.10646057128906,38.98667526245117
2008-01-15,73.58048248291016,58.436927795410156,21.522441864013672,109.60679626464844,19.331445693969727,21.166250228881836,67.1240234375,44.832942962646484,34.25108337402344,46.569976806640625,37.342132568359375
2008-01-16,73.35895538330078,58.51685333251953,20.96721649169922,108.9090805053711,19.43564224243164,21.123390197753906,66.63965606689453,43.96892547607422,34.64289855957031,45.713932037353516,35.90690612792969
2008-01-17,73.80201721191406,58.46549987792969,20.42659568786621,105.84857940673828,19.131372451782227,20.732913970947266,67.50321197509766,43.32889938354492,34.17151641845703,44.909114837646484,34.87907409667969
2008-01-18,73.78771209716797,58.4997444152832,21.011049270629883,105.2856216430664,19.143878936767578,20.813879013061523,67.03981018066406,43.19449996948242,33.718505859375,45.79443359375,35.64154815673828
2008-01-22,73.90205383300781,58.21999740600586,20.280485153198242,104.03291320800781,19.16888427734375,20.771013259887695,67.75595092773438,41.98487854003906,34.52656936645508,44.05308151245117,34.550174713134766
2008-01-23,73.68051147460938,58.23139953613281,20.032094955444336,106.2925796508789,19.164714813232422,20.92815399169922,67.60148620605469,41.85047912597656,37.80168914794922,44.243309020996094,34.92393112182617
2008-01-24,73.4947280883789,58.24283981323242,19.856760025024414,107.21235656738281,19.123046875,21.142436981201172,66.24650573730469,43.072906494140625,36.91404342651367,45.15788650512695,35.17060089111328
2008-01-25,73.62333679199219,58.33419418334961,20.09053611755371,105.61865997314453,18.910465240478516,21.313865661621094,67.36280059814453,42.17688751220703,36.69978713989258,46.109039306640625,34.348323822021484
2008-01-28,73.76628875732422,58.311378479003906,20.017480850219727,107.4739761352539,19.06468963623047,21.332914352416992,67.11003875732422,43.06650161743164,37.9424934387207,46.35048294067383,35.13322067260742
2008-01-29,73.53761291503906,58.21430206298828,19.988258361816406,108.04486846923828,19.089693069458008,21.551958084106445,66.65365600585938,43.26490020751953,37.59967803955078,46.43827438354492,35.267784118652344
2008-01-30,73.65193939208984,58.391258239746094,19.725257873535156,107.50568389892578,19.42313003540039,21.609088897705078,66.21841430664062,43.00889587402344,36.59572219848633,46.021236419677734,34.64361572265625
2008-01-31,73.97357177734375,58.40834045410156,20.00286865234375,109.05176544189453,19.485660552978516,21.685285568237305,66.68875122070312,43.58491897583008,37.330322265625,46.8260612487793,35.46586608886719
2008-02-01,73.89816284179688,58.41177749633789,20.821104049682617,110.764404296875,19.587169647216797,21.891250610351562,67.08966827392578,44.18653869628906,38.891361236572266,47.652828216552734,36.32551193237305
2008-02-04,73.85516357421875,58.43477249145508,20.660377502441406,109.65434265136719,19.297725677490234,21.752666473388672,66.39924621582031,43.69371795654297,38.487335205078125,47.16994094848633,36.280677795410156
2008-02-05,74.08472442626953,58.302852630615234,19.5937557220459,106.2529296875,19.243181228637695,21.70486831665039,66.90646362304688,41.6712646484375,37.1283073425293,45.567604064941406,34.77067184448242
2008-02-06,74.02735900878906,58.325775146484375,19.447641372680664,105.4363021850586,19.192832946777344,21.61887550354004,66.70220184326172,41.90806579589844,36.52226638793945,44.9749641418457,34.2362060546875
2008-02-07,73.37438201904297,58.119293212890625,19.7398681640625,106.22916412353516,19.062795639038086,21.64275550842285,65.26499938964844,41.41527557373047,37.38542175292969,45.14324951171875,34.78562927246094
2008-02-08,73.72593688964844,57.8956184387207,19.871368408203125,105.75342559814453,19.03761100769043,21.64275550842285,66.01175689697266,41.18485641479492,36.191673278808594,44.345741271972656,34.568851470947266
2008-02-11,73.8838119506836,57.86696243286133,20.06131362915039,106.37981414794922,18.974687576293945,21.62363624572754,66.2865219116211,41.47286605834961,35.45707321166992,44.66035079956055,35.03978729248047
