Date,AGG,EMB,EWT,IVV,JNK,PFF,TLT,VGK,VNQ,VPL,VWO,NAV,NAV_CP,NAV_RI
2009-12-31,80.3294677734375,65.33555603027344,20.855838775634766,92.7884292602539,62.15803146362305,20.81592559814453,68.41717529296875,34.813217163085945,30.855451583862305,39.37685775756836,32.67530059814453,10000.0,10000.0,10000.0
2010-01-04,80.42285919189453,65.43184661865234,21.45079803466797,94.3154067993164,62.97483825683594,20.929367065429688,68.35634613037111,35.876014709472656,30.72440528869629,40.54313659667969,33.791046142578125,10162.236852256341,10000.0,10000.0
2010-01-05,80.78878021240234,65.82985687255861,21.370399475097656,94.58928680419922,63.56742477416992,21.031457901000977,68.79773712158203,35.81855392456055,30.68993377685547,40.7272834777832,33.902618408203125,10187.654450852193,10000.0,10000.0
2010-01-06,80.7420883178711,65.91968536376953,21.499038696289066,94.6639633178711,63.7756462097168,21.1562442779541,67.87679290771484,36.03398895263672,30.634754180908203,40.91142654418945,34.109817504882805,10208.897786390922,10000.0,10000.0
2010-01-07,80.64862823486328,65.57949066162111,21.338237762451172,95.07889556884766,63.98385620117188,21.2186336517334,67.99095916748047,35.80419540405273,30.96578598022461,40.62753677368164,33.814945220947266,10198.266007722545,10000.0,10000.0
2010-01-08,80.69535064697266,65.65650177001953,21.45079803466797,95.40254974365234,64.22406005859375,21.21295547485352,67.96048736572266,36.16324234008789,30.73819351196289,41.06488037109375,34.022159576416016,10233.769025734571,10000.0,10000.0
2010-01-11,80.63307189941406,66.15724945068361,21.499038696289066,95.53531646728516,64.16005706787111,21.332073211669922,67.58754730224611,36.450477600097656,30.917510986328125,41.30274200439453,34.06998062133789,10263.187962321255,10000.0,10000.0
2010-01-12,81.1468734741211,66.17009735107422,21.209598541259766,94.65565490722656,63.99986267089844,21.34341812133789,68.74445343017578,35.91908264160156,30.40026092529297,41.17229843139648,33.575855255126946,10193.819621685552,10000.0,10000.0
2010-01-13,80.80435943603516,66.02243804931639,21.193517684936523,95.40254974365234,63.82368469238281,21.47954559326172,67.94528198242189,36.40740203857422,31.01407623291016,41.38713455200195,33.71134567260742,10243.288323332248,10000.0,10000.0
2010-01-14,81.0145263671875,65.67576599121094,21.370399475097656,95.68473052978516,63.96782302856445,21.570289611816406,68.89668273925781,36.335594177246094,30.98648452758789,41.901222229003906,33.63165283203125,10275.766855417534,10000.0,10000.0
