,EWT,IVV,TLT,AGG,VNQ,VWO,VPL,VGK,PFF,JNK,EMB
2010-01-04,-0.105767,-0.07202499999999999,-0.022708999999999993,-0.021922499999999998,-0.11922000000000002,-0.08879500000000001,-0.12377349999999998,-0.01895250000000001,-0.04550300000000001,-0.02608350000000001,
2010-01-05,-0.0856605,-0.06341300000000002,-0.014861000000000027,-0.0161995,-0.12278949999999997,-0.087337,-0.15017049999999998,-0.02655550000000001,-0.035969499999999995,-0.019828,
2010-01-06,-0.08199799999999999,-0.05921500000000002,-0.013211,-0.01629350000000001,-0.14579599999999998,-0.09455850000000002,-0.15199100000000001,-0.020229000000000025,-0.04288750000000001,-0.011111499999999996,
2010-01-07,-0.09164349999999999,-0.066054,-0.011468000000000006,-0.016563499999999995,-0.134602,-0.09799750000000002,-0.15369399999999997,-0.047106499999999996,-0.04057949999999999,-0.007211999999999996,
2010-01-08,-0.097107,-0.057988,-0.006432499999999994,-0.017254,-0.1131055,-0.09493749999999998,-0.1445505,-0.03903100000000001,-0.035735499999999996,-0.007767999999999997,
2010-01-11,-0.09291649999999999,-0.06081549999999998,-0.011883499999999991,-0.011728999999999996,-0.11424600000000001,-0.08626050000000002,-0.1461975,-0.030783000000000033,-0.03826550000000001,-0.006381499999999984,
2010-01-12,-0.08470350000000001,-0.062135000000000024,0.011724999999999985,-0.011012500000000001,-0.10760149999999999,-0.08444650000000004,-0.14005949999999998,-0.03380649999999999,-0.033974,-0.0009800000000000086,
2010-01-13,-0.08082349999999999,-0.06235400000000001,0.01577150000000002,-0.009401,-0.09640349999999998,-0.07431799999999997,-0.13882750000000002,-0.024267999999999984,-0.05187349999999999,-0.023415500000000006,
2010-01-14,-0.071405,-0.05051800000000001,0.02854850000000002,-0.008574000000000005,-0.09996850000000004,-0.07255400000000001,-0.13389299999999998,-0.024727500000000013,-0.034996,-0.011066499999999993,
2010-01-15,-0.06774849999999999,-0.04676849999999998,0.03683850000000001,-0.008224500000000003,-0.09250100000000003,-0.06456199999999998,-0.13453050000000003,-0.019573000000000007,-0.029126,-0.020399,
2010-01-19,-0.07895250000000001,-0.037732,0.03126200000000001,-0.004196499999999999,-0.052887500000000004,-0.0650715,-0.086308,-0.009882500000000016,-0.024013999999999994,-0.023235500000000006,
2010-01-20,-0.04704249999999999,-0.049229499999999995,0.02551049999999999,-0.0069525,-0.054022000000000014,-0.06356449999999997,-0.12286949999999996,0.005787500000000001,-0.022579000000000002,-0.02158650000000001,
2010-01-21,-0.032612,-0.05007600000000001,0.024767999999999984,-0.010554999999999995,-0.09841399999999997,-0.05742649999999999,-0.120118,0.009176499999999976,-0.039245499999999996,-0.008979500000000001,
2010-01-22,-0.05767950000000002,-0.06788599999999997,0.019486000000000003,-0.0025610000000000008,-0.09658150000000004,-0.06380499999999997,-0.1258965,-0.012499499999999997,-0.0203705,-0.018527500000000002,
2010-01-25,-0.0730035,-0.0677625,0.013254000000000002,-0.012149000000000007,-0.071803,-0.05663099999999999,-0.07205749999999997,0.020876000000000006,-0.026623000000000008,-0.0019264999999999977,
2010-01-26,-0.04440949999999999,-0.05548499999999998,0.009983500000000006,-0.013934499999999996,-0.08074599999999998,-0.06164999999999998,-0.11844199999999996,0.0005600000000000049,-0.020089499999999996,-0.013782500000000003,
2010-01-27,-0.04471499999999998,-0.069906,0.011433500000000013,-0.0197595,-0.0723915,-0.06394450000000002,-0.06749149999999998,0.001348999999999989,-0.023874000000000006,0.0024399999999999977,
2010-01-28,-0.04010749999999999,-0.054544499999999996,0.013812999999999992,-0.0106435,-0.07513349999999996,-0.06649899999999997,-0.13134500000000002,-0.004325499999999982,-0.012805999999999998,-0.011706000000000008,
2010-01-29,-0.050567500000000015,-0.057481000000000004,0.013290999999999983,-0.017780500000000005,-0.0894335,-0.086528,-0.13017749999999997,-0.011535000000000073,-0.017392999999999992,-0.014978500000000006,
2010-02-01,-0.055942500000000006,-0.031821000000000016,0.012060999999999988,-0.020647000000000006,-0.08044350000000003,-0.04560949999999997,-0.1126,0.024575000000000014,-0.020734500000000003,-0.015229499999999993,
2010-02-02,-0.06721449999999998,-0.014735499999999985,0.011868000000000004,-0.021385999999999995,-0.07279100000000002,-0.044518999999999975,-0.04858450000000003,0.03370899999999999,-0.0056689999999999935,-0.012839500000000004,
2010-02-03,-0.05950649999999999,-0.03223000000000001,0.014516500000000016,-0.013484999999999997,-0.053414000000000045,-0.066306,-0.07410699999999998,0.008020000000000027,-0.010923000000000002,-0.020676,
2010-02-04,-0.08682250000000002,-0.05292999999999998,0.017627999999999977,-0.0212025,-0.04973299999999997,-0.05593999999999999,-0.0763045,0.0014414999999999845,-0.007866499999999998,-0.023959000000000008,
2010-02-05,-0.0901325,-0.04847500000000002,0.008030999999999983,-0.018023000000000004,-0.029457999999999984,-0.06437949999999998,-0.08832000000000001,-0.006128000000000078,-0.0400035,-0.0487455,
2010-02-08,-0.10129550000000001,-0.03886499999999998,0.008796500000000013,-0.0158055,-0.06191300000000005,-0.07401149999999995,-0.094006,-0.00659649999999995,-0.0326655,-0.05492849999999998,
2010-02-09,-0.04926649999999999,-0.03576499999999999,0.008983000000000019,-0.0191985,-0.058767000000000014,-0.03324000000000005,-0.05365550000000005,0.05965950000000003,-0.02804050000000001,-0.05550749999999999,
2010-02-10,-0.05197349999999998,-0.03873400000000002,0.010398500000000005,-0.014676000000000002,-0.050294499999999964,-0.03250200000000003,-0.059743500000000005,0.04486199999999996,-0.01995150000000001,-0.050759,
