,AGG,EMB,EWT,IVV,JNK,PFF,TLT,VGK,VNQ,VPL,VWO
2010-01-29,-6.608682023073562,7.694377666018177,77.94441746801824,22.385275505729705,-8.440459612691582,23.786733150665786,-22.077977924648806,14.931113558748038,87.07413282612887,78.94798858278875,66.46570473771848
2010-02-26,12.615887656620824,7.819787153863232,708.0037504252177,-22.393497302961695,139.7743660061772,23.62429256281972,-169.31438179003453,-476.52528966784604,167.42109454442803,443.2847273654745,-232.43157881880393
2010-03-31,-2.614045985474078,8.58322819356021,125.51942189710756,44.78431711358547,8.94202895051054,-4.80873034781836,-31.59158005639681,-26.039244425388663,115.17736990319294,27.695523247993226,54.96697737617698
2010-04-30,-28.004843326569137,8.789819771628197,58.41198704320093,76.88563710574965,62.04372546575209,105.77751296202861,-90.42061123218686,-16.756814476695563,-111.69505668246538,28.823563031636564,244.55661709721448
2010-05-28,11.927483716478292,7.451745436049716,559.9686457486871,72.24576759839213,302.8826751114263,-629.0410371980413,-55.33080333830433,-595.638853501532,-239.57130839446157,26.537804907922258,487.6701252754066
2010-06-30,97.85298757252521,7.152279100321585,359.0452398879254,43.67803061381765,-50.189893128055424,22.57259933878121,52.645115969667536,-219.78567369802448,-138.40503134170226,26.7611532835341,-28.184994617624266
2010-07-30,150.65255289825384,6.550427304247146,445.9002124990338,63.07704685656267,7.0073143029245095,-152.16041261382617,-96.12230139283356,-455.31863003751334,-308.3828386250202,23.712667863825967,505.4309742524011
2010-08-31,197.25707568461792,5.96432233676408,-232.3401574222442,80.66009996702957,170.05267978761484,18.37418467825802,-250.42057011207783,-487.997815212125,-281.75245436752965,22.70010385666461,691.6221609746844
2010-09-30,-9.568808831211152,6.890417444516634,89.2705747667909,21.17619621398605,34.46030794420026,177.25910267547835,-38.66205359805508,-50.118035453682474,2.6000114402534087,24.697431661552,104.72914593804728
2010-10-29,-7.017341729418894,7.03160322181944,72.40642829490378,37.90455546992141,-0.3686212717670118,22.323144388343277,-21.53233636664296,-1.4156634377318207,56.34226366136237,25.192821053987508,88.04273405771399
2010-11-30,-29.011100736122266,7.290828300095226,-57.953238933429645,68.3324866939605,7.610371241549071,-27.78157601484654,-54.28285322538085,135.9651072077586,58.972996535787324,24.80753040252749,94.15166367553847
2010-12-31,-4.605349984371473,8.18693146065989,231.32692752033932,36.993318668997695,8.349272376076335,158.31170970225946,-76.74657115833001,-53.43142690461859,189.38609438795856,26.050748304032446,-90.97968955508063
2011-01-31,-36.15708087987952,8.672609508540823,48.701235406313856,75.5990104129366,-11.34892154966138,-94.89913772856201,-71.26473483186409,107.872413010266,65.67418456718733,27.343671808474262,147.83851231018807
2011-02-28,-11.555299203589056,8.940229069950805,-322.76377141472136,22.660164535606565,-53.143110924210085,307.09811943037266,-83.96392168920522,147.43918241649902,241.90729938399025,27.01767104709141,94.35479301461037
2011-03-31,197.89558661746102,8.742195339101977,-1231.3083738768432,229.97709291539968,-97.89635862578193,1302.470417919607,-204.04905778850048,32.548306149386526,-526.3254067435627,28.544902955825204,228.98743189975727
2011-04-29,-84.30424362347568,7.220133392503195,-918.0623759499641,162.4350228744011,-217.80331099449185,1032.1591379859183,7.10072454046576,-767.0723289272636,776.4690584404175,23.164204325742844,230.35745736580304
2011-05-31,-611.6242750150719,7.929756898663672,-1016.6997425496363,378.9014468285815,-175.21773361783076,23.775208259103497,360.60151856090437,-972.7336496689355,1242.0225413420164,26.572483947246738,374.664830137024
2011-06-30,-242.0772475898491,7.085430049021813,-403.8411272142907,215.6472441317904,157.0685062202964,1361.6040600899823,-431.9704627317492,-1078.2142089108625,24.49717913630384,23.71765385232006,1155.4133512905978
2011-07-29,10.821513934310543,6.248359049831061,551.8203075055704,74.89682038128629,-249.51428834525072,-241.35613263267675,-154.6553988062153,-638.9308787722026,452.827296089006,21.12283342881819,675.5083240403461
2011-08-31,208.28174372436942,3.9188178386274215,430.8521057723228,11.587645885996778,192.5033085303341,-746.5396910118917,55.766643923955,-374.2450078972158,-202.7932281295716,14.252164570212578,-110.68115150542872
2011-09-30,9.520238902518498,5.876212471637864,315.1716535250707,-18.01650744239033,108.943189872134,-211.37599707996574,-66.47603474798844,142.46459946772168,-23.550598813846854,22.39628590493106,89.88578684116094
2011-10-31,411.4179442095828,-345.6367529733436,49.82746309715887,19.589708425062657,254.03155925131153,1162.901887405573,-90.52282935586403,295.5921308247929,-401.95483833284976,25.946399670968095,-1050.0538137012381
2011-11-30,121.48498842746407,399.05759932442703,2027.1900316657513,19.03694178485652,7.101998213718958,884.9201055818692,-408.8911051926859,-868.0903470656625,24.964372086931537,-468.030657052146,-271.3065147950221
2011-12-30,60.09432349878942,92.34186649860732,54.71780029218589,-0.23050284428230142,7.342186196645013,405.5442674269568,27.664147642227295,-170.32749979704565,25.464317791434446,-85.04961619496794,-245.00407496114116
2012-01-31,-11.535816341393103,33.6424426225814,243.27024019692894,74.54983726421123,6.889037061927139,-320.64889422992735,-58.6912026987308,30.692252575032406,208.69365248365096,-76.29944217460377,30.037622190420155
