Date,AGG,EMB,EWT,IVV,JNK,PFF,TLT,VGK,VNQ,VPL,VWO
2009-12-31,80.3294677734375,65.33555603027344,20.855838775634766,92.7884292602539,62.15803146362305,20.81592559814453,68.41717529296875,34.81321716308594,30.855451583862305,39.37685775756836,32.67530059814453
2010-01-04,80.42285919189453,65.43184661865234,21.45079803466797,94.3154067993164,62.97483825683594,20.929367065429688,68.3563461303711,35.876014709472656,30.72440528869629,40.54313659667969,33.791046142578125
2010-01-05,80.78878021240234,65.8298568725586,21.370399475097656,94.58928680419922,63.56742477416992,21.031457901000977,68.79773712158203,35.81855392456055,30.68993377685547,40.7272834777832,33.902618408203125
2010-01-06,80.7420883178711,65.91968536376953,21.499038696289062,94.6639633178711,63.7756462097168,21.1562442779541,67.87679290771484,36.03398895263672,30.634754180908203,40.91142654418945,34.10981750488281
2010-01-07,80.64862823486328,65.5794906616211,21.338237762451172,95.07889556884766,63.983856201171875,21.2186336517334,67.99095916748047,35.804195404052734,30.96578598022461,40.62753677368164,33.814945220947266
2010-01-08,80.69535064697266,65.65650177001953,21.45079803466797,95.40254974365234,64.22406005859375,21.212955474853516,67.96048736572266,36.16324234008789,30.73819351196289,41.06488037109375,34.022159576416016
2010-01-11,80.63307189941406,66.1572494506836,21.499038696289062,95.53531646728516,64.1600570678711,21.332073211669922,67.5875473022461,36.450477600097656,30.917510986328125,41.30274200439453,34.06998062133789
2010-01-12,81.1468734741211,66.17009735107422,21.209598541259766,94.65565490722656,63.99986267089844,21.34341812133789,68.74445343017578,35.91908264160156,30.40026092529297,41.172298431396484,33.57585525512695
2010-01-13,80.80435943603516,66.0224380493164,21.193517684936523,95.40254974365234,63.82368469238281,21.47954559326172,67.94528198242188,36.40740203857422,31.014076232910156,41.38713455200195,33.71134567260742
2010-01-14,81.0145263671875,65.67576599121094,21.370399475097656,95.68473052978516,63.96782302856445,21.570289611816406,68.89668273925781,36.335594177246094,30.98648452758789,41.901222229003906,33.63165283203125
2010-01-15,81.17017364501953,65.63726806640625,21.25783920288086,94.6058578491211,63.69554901123047,21.56462287902832,69.32290649414062,35.57440185546875,30.75199317932129,41.6786994934082,33.23316955566406
2010-01-19,81.03787231445312,65.739990234375,21.322158813476562,95.7759780883789,63.8557243347168,21.547607421875,69.12503814697266,36.31404495239258,31.37959098815918,41.90889358520508,33.806983947753906
2010-01-20,81.24806213378906,65.81702423095703,20.904077529907227,94.8299331665039,63.47132110595703,21.507888793945312,69.82524108886719,35.18663787841797,31.02786636352539,40.788673400878906,32.97815704345703
2010-01-21,81.27145385742188,65.70147705078125,20.453834533691406,92.97099304199219,62.446319580078125,21.388790130615234,70.14494323730469,34.09513473510742,30.13819694519043,40.397342681884766,32.02179718017578
2010-01-22,81.3181381225586,65.5152587890625,19.858875274658203,90.96270751953125,61.853729248046875,21.173259735107422,70.02312469482422,33.355491638183594,29.379568099975586,39.93697738647461,31.304529190063477
2010-01-25,81.31031036376953,65.54097747802734,19.955354690551758,91.41915893554688,62.28614807128906,21.178937911987305,69.70349884033203,33.96586608886719,29.586471557617188,40.34364318847656,31.60737419128418
2010-01-26,81.41155242919922,65.52172088623047,19.4407901763916,90.98760986328125,62.30217361450195,21.195941925048828,69.72633361816406,33.7001838684082,29.310596466064453,39.875606536865234,31.00168228149414
2010-01-27,81.3492202758789,65.37405395507812,19.4407901763916,91.45233154296875,62.494354248046875,21.195941925048828,69.68824005126953,33.83660888671875,29.572677612304688,39.66075897216797,30.914030075073242
2010-01-28,81.27918243408203,65.15581512451172,19.472951889038086,90.35690307617188,62.41428756713867,21.08817481994629,69.65017700195312,33.010807037353516,29.317506790161133,39.23875045776367,30.79448127746582
2010-01-29,81.4660415649414,64.98251342773438,19.40863037109375,89.34444427490234,62.27016067504883,21.02012062072754,70.25904083251953,32.630226135253906,29.1519775390625,38.647945404052734,30.475698471069336
2010-02-01,81.35440063476562,65.00122833251953,19.360387802124023,90.75523376464844,62.3929443359375,21.208253860473633,69.62133026123047,33.448848724365234,29.683027267456055,39.223411560058594,31.35236167907715
2010-02-02,81.4480972290039,64.84638977050781,18.974468231201172,91.89216613769531,62.52222442626953,21.36219596862793,69.81986999511719,33.96586608886719,30.08992576599121,39.74516296386719,31.50377082824707
2010-02-03,81.2997055053711,64.75611114501953,19.296072006225586,91.42744445800781,62.50605392456055,21.350788116455078,69.01024627685547,33.542198181152344,29.600265502929688,39.430572509765625,31.41610336303711
2010-02-04,81.49491882324219,64.09822082519531,18.749347686767578,88.63072967529297,61.294090270996094,21.117034912109375,70.10249328613281,31.89775276184082,28.503705978393555,38.318023681640625,29.981584548950195
2010-02-05,81.52616882324219,63.87247848510742,18.492067337036133,88.82164764404297,60.76081466674805,21.02011489868164,70.25527954101562,31.60333824157715,29.027835845947266,38.27965545654297,29.925798416137695
2010-02-08,81.682373046875,64.15628051757812,18.411666870117188,88.1328353881836,60.9223747253418,20.991605758666992,70.34693145751953,31.143762588500977,28.393346786499023,37.94971466064453,29.367918014526367
2010-02-09,81.53392028808594,64.0788803100586,18.8458309173584,89.27806091308594,61.06785202026367,21.082828521728516,69.64419555664062,32.43633270263672,28.303701400756836,38.67097091674805,30.26848602294922
2010-02-10,81.3465805053711,64.27884674072266,18.926231384277344,89.07060241699219,60.179073333740234,21.16265296936035,68.97968292236328,32.062931060791016,28.358869552612305,38.60190963745117,30.1728515625
2010-02-11,81.21381378173828,64.73028564453125,19.119192123413086,89.98343658447266,60.0659294128418,21.23106575012207,68.60546112060547,32.33580017089844,28.627838134765625,39.03926467895508,30.914030075073242
