,EWT,IVV,TLT,AGG,VNQ,VWO,VPL,VGK,PFF,JNK,EMB
2010-01-04,0.003278000000000003,-0.022807999999999995,-0.01181199999999999,-0.008343000000000003,-0.017403999999999975,-0.029855999999999994,-0.105985,-0.02004700000000001,-0.018722000000000003,-0.028709,
2010-01-05,-0.024722999999999995,-0.02110999999999999,-0.011864000000000013,-0.015140999999999995,-0.043329000000000006,-0.02509800000000001,-0.13633699999999999,-0.018335000000000018,-0.039389,-0.042018,
2010-01-06,0.015044000000000002,-0.002362000000000003,-0.0012300000000000089,-0.015733000000000004,-0.013569999999999971,-0.012875000000000025,-0.122278,-0.03875999999999999,-0.011795,-0.020093,
2010-01-07,0.01501299999999997,-0.021687999999999985,-0.016861999999999988,-0.010401,-0.013349999999999973,-0.008471000000000006,-0.13669199999999998,-0.01224699999999998,-0.027532999999999995,-0.021328,
2010-01-08,-0.01063799999999998,-0.034563999999999984,-0.019698999999999994,-0.005248000000000003,-0.02447900000000003,-0.025988999999999984,-0.13050300000000004,-0.023919999999999997,-0.014881000000000005,-0.020959999999999993,
2010-01-11,0.0026509999999999867,-0.019375000000000003,-0.004507000000000011,-0.00997,-0.01943399999999995,-0.021469000000000016,-0.122861,-0.035444,-0.019488999999999992,-0.005621000000000001,
2010-01-12,-0.011016999999999999,-0.0067779999999999785,-0.009392000000000011,-0.009819000000000001,-0.005587000000000009,-0.024126999999999954,-0.10370500000000002,-0.02420899999999998,-0.049550000000000004,-0.03723800000000001,
2010-01-13,0.010278999999999983,-0.049444000000000016,-0.0004949999999999954,-0.009606000000000003,-0.03501500000000002,-0.01844399999999996,-0.11749500000000002,-0.037257999999999986,-0.03041500000000001,-0.007193000000000005,
2010-01-14,0.019979999999999998,-0.018199999999999994,-0.018478999999999995,-0.0031759999999999983,-0.014995000000000036,-0.010062000000000015,-0.104326,-0.006119000000000013,-0.039678,-0.01793299999999999,
2010-01-15,0.0011690000000000034,-0.0018410000000000093,-0.011269000000000001,-0.013783000000000004,-7.399999999996298e-05,0.002919999999999978,-0.127787,0.013749999999999984,-0.03787599999999999,-0.007997999999999991,
2010-01-19,0.007577,-0.025443999999999994,-0.010831999999999994,0.0022070000000000006,-0.039116999999999985,-0.017459000000000002,0.0,-0.062106999999999996,-0.025428,-0.005382999999999999,
2010-01-20,-0.0016170000000000073,-0.024197000000000024,-0.023654999999999995,-0.011707000000000002,-0.03870800000000002,0.009088999999999958,-0.134229,-0.02041499999999999,-0.010425999999999998,0.03067099999999999,
2010-01-21,0.001704000000000011,0.00897400000000001,-0.006173999999999999,-0.002345999999999994,0.08413199999999998,0.00887899999999997,-0.11035400000000004,0.01775099999999999,-0.014837000000000003,0.004336999999999994,
2010-01-22,-0.0020609999999999795,0.046943999999999986,-0.004783999999999997,-0.0030559999999999962,0.059591000000000005,0.013218000000000008,-0.120863,0.022882999999999987,-0.044220999999999996,0.0033289999999999847,
2010-01-25,0.049211000000000005,0.015467000000000009,-0.011401999999999995,-0.013031999999999995,-0.024275999999999964,0.01161000000000001,-0.0008170000000000122,-0.022074000000000038,-0.034108,-0.024119,
2010-01-26,-0.011808999999999958,0.06914200000000001,-0.01394899999999999,-0.0028849999999999987,0.04023199999999999,0.01022400000000001,-0.09199799999999997,0.0011419999999999764,-0.008324999999999999,0.003158999999999995,
2010-01-27,-0.03316399999999997,0.0025280000000000025,-0.006373000000000004,-0.005868999999999999,-0.03685099999999997,-0.0066689999999999805,1.0000000000287557e-06,-0.03022999999999998,-0.018633999999999998,-0.092006,
2010-01-28,0.013678999999999997,0.024358999999999992,-0.018804,0.003361000000000003,0.007589000000000012,0.0007840000000000069,-0.09600200000000003,0.025612999999999997,-0.013897999999999994,-0.103692,
2010-01-29,-0.002562999999999982,0.048100000000000004,-0.015163999999999997,-0.0066990000000000036,-0.00555300000000003,0.012460000000000027,-0.10034900000000002,0.03928999999999999,-0.024298,-0.015447000000000016,
2010-02-01,0.01616899999999999,-0.022003999999999996,-0.013601999999999989,-0.0066879999999999995,-0.034947000000000006,-0.041103,-0.11998200000000003,-0.03803599999999996,-0.03944700000000001,-0.0039889999999999926,
2010-02-02,0.09232300000000002,-0.028669,-0.021600000000000008,-0.014039999999999997,-0.04213600000000001,-0.04151199999999999,-0.026589,-0.038865999999999984,-0.051570000000000005,-0.017377000000000004,
2010-02-03,-0.0020369999999999555,0.0027479999999999727,-0.015451000000000006,0.001924000000000002,0.0018499999999999628,-0.011194000000000037,-0.0021459999999999813,-0.010470000000000035,-0.014544000000000001,-0.03012200000000001,
2010-02-04,0.022238999999999953,0.06292199999999998,-0.014249999999999999,-0.0018329999999999944,0.066214,0.012290000000000023,-0.006311000000000011,0.039271,-0.02412099999999999,-1.9999999999992246e-05,
2010-02-05,-0.04333100000000001,-0.051568,-0.018594,0.010378000000000005,-0.07946599999999998,-0.10211100000000001,-0.010241999999999973,-0.088594,-0.06070299999999999,-0.043872999999999995,
2010-02-08,0.0065930000000000155,0.027410000000000018,-0.019125000000000003,-0.004916999999999998,0.03918000000000005,0.017231000000000052,0.003925999999999985,-0.0018349999999999755,-0.02792900000000001,-0.028047000000000016,
2010-02-09,0.003399000000000041,0.0010880000000000056,-0.013667999999999986,-0.007015,0.011079999999999979,-0.011384000000000005,0.010182999999999998,-0.03974300000000003,-0.038249000000000005,-0.030354999999999993,
2010-02-10,0.0012550000000000061,-0.004916000000000004,-0.018392999999999993,-0.004462000000000001,0.002841000000000038,0.008516000000000024,-0.01661299999999999,-0.011156,-0.049303000000000013,0.012660000000000005,
