Date,BND,BNDX,BSV,EMB,EMLC,HYD,JNK,SCHP,SHM,VB,VBR,VEA,VNQ,VNQI,VO,VOE,VTEB,VTI,VTV,VWO
2015-12-31,74.17748260498047,49.16908645629883,75.41304016113281,90.48001861572266,28.86899757385254,54.03508377075195,28.08533477783203,50.11080551147461,46.97661209106445,105.74447631835938,93.11629486083984,33.538753509521484,69.67308807373047,44.71092987060547,114.72757720947266,81.06324005126953,47.981475830078125,98.48625183105469,75.53787994384766,30.305768966674805
2016-01-04,74.14076232910156,49.27134704589844,75.44147491455078,90.38591003417969,28.6142635345459,54.22755813598633,27.94454002380371,50.24285888671875,46.88018035888672,104.06236267089844,91.7492904663086,33.03640365600586,68.83415985107422,44.238441467285156,113.2279281616211,80.22383880615234,48.03794860839844,97.01322174072266,74.62052154541016,29.444128036499023
2016-01-05,74.23262786865234,49.24346160888672,75.43199157714844,90.62541198730469,28.631242752075195,54.210079193115234,28.002513885498047,50.2239875793457,46.93803787231445,104.11969757080078,91.95669555664062,32.99986267089844,70.16244506835938,44.30843734741211,113.34254455566406,80.40304565429688,48.113224029541016,97.23039245605469,74.8614501953125,29.50897979736328
2016-01-06,74.56327819824219,49.42943572998047,75.51728057861328,90.61686706542969,28.29160499572754,54.43755340576172,27.977663040161133,50.42205047607422,47.05374526977539,102.56182098388672,90.52371215820312,32.39704513549805,69.97019958496094,43.757205963134766,111.25069427490234,78.84685516357422,48.31083297729492,95.92732238769531,73.79584503173828,28.980876922607422
2016-01-07,74.57245635986328,49.355045318603516,75.6310043334961,90.18917846679688,28.257654190063477,54.36754608154297,27.828582763671875,50.36546325683594,47.07303237915039,99.7997055053711,88.23280334472656,31.785083770751953,68.60697937011719,42.80348587036133,108.74809265136719,77.04546356201172,48.2825927734375,93.57611083984375,72.07234191894531,28.045114517211914
2016-01-08,74.66429901123047,49.34574890136719,75.71631622314453,90.1122055053711,28.240659713745117,54.43755340576172,27.72919464111328,50.38432312011719,47.015174865722656,98.41386413574219,86.98835754394531,31.392343521118164,67.68941497802734,42.147254943847656,107.34396362304688,75.85708618164062,48.32024002075195,92.50908660888672,71.21984100341797,27.79496192932129
2016-01-11,74.35200500488281,49.28996276855469,75.70682525634766,89.95825958251953,28.18971824645996,54.350059509277344,27.687788009643555,50.129676818847656,47.05374526977539,97.93598175048828,86.77153015136719,31.529342651367188,68.07392120361328,42.226009368896484,106.82815551757812,75.56472778320312,48.188514709472656,92.45244598388672,71.17350006103516,27.67451286315918
2016-01-12,74.54489135742188,49.355045318603516,75.71631622314453,89.53910827636719,28.18971824645996,54.47254943847656,27.754037857055664,50.233428955078125,47.11159896850586,98.2131576538086,86.89410400390625,31.657217025756836,67.6195068359375,42.26101303100586,107.3153305053711,75.7816390991211,48.16027069091797,93.08509826660156,71.60901641845703,27.776426315307617
2016-01-13,74.72859954833984,49.46662139892578,75.8016128540039,89.18843078613281,28.240659713745117,54.332557678222656,27.38133430480957,50.33717346191406,47.07303237915039,95.27899932861328,84.5089111328125,31.182262420654297,66.64950561523438,41.788516998291016,104.3160171508789,73.9425048828125,48.20732498168945,90.68667602539062,70.11715698242188,27.4614200592041
2016-01-14,74.63676452636719,49.30855178833008,75.773193359375,89.29105377197266,28.29160499572754,54.31505584716797,27.447601318359375,50.35602951049805,47.092308044433594,96.40679168701172,85.47052001953125,31.5476131439209,66.49222564697266,42.29601287841797,105.44314575195312,74.65929412841797,48.16967010498047,92.0747299194336,71.25690460205078,27.813491821289062
2016-01-15,74.76536560058594,49.3736572265625,75.8584976196289,88.41004180908203,28.036884307861328,54.43755340576172,27.108016967773438,50.31830978393555,47.11159896850586,94.82978820800781,84.08467102050781,30.451576232910156,66.03781127929688,40.9660530090332,103.55188751220703,73.31060028076172,48.24495315551758,90.13900756835938,69.7187271118164,26.646102905273438
2016-01-19,74.6734619140625,49.22487258911133,75.8016128540039,88.73506164550781,27.96895408630371,54.31505584716797,26.975500106811523,50.299442291259766,47.07303237915039,93.83580017089844,83.33047485351562,30.71645164489746,66.38735961914062,41.0447998046875,102.87369537353516,72.78244018554688,48.188514709472656,90.0445785522461,69.72798919677734,27.016700744628906
2016-01-20,74.75614929199219,49.3736572265625,75.88691711425781,88.19618225097656,27.799142837524414,54.4200439453125,26.743595123291016,50.34660339355469,47.169456481933594,93.65422058105469,82.94393157958984,30.013160705566406,64.60467529296875,40.082340240478516,102.07132720947266,71.99961853027344,48.33907699584961,89.15696716308594,68.66238403320312,26.451536178588867
2016-01-21,74.71022033691406,49.42013168334961,75.9058609008789,88.59822082519531,27.833106994628906,54.49004364013672,26.86783218383789,50.13910675048828,47.150177001953125,93.6733169555664,82.91564178466797,30.241506576538086,64.96295166015625,40.04733657836914,102.4725112915039,72.34859466552734,48.292015075683594,89.50634765625,68.97743225097656,26.497861862182617
2016-01-22,74.68267059326172,49.31785202026367,75.78266143798828,89.42793273925781,28.0029239654541,54.4200439453125,27.29851531982422,50.308876037597656,47.092308044433594,96.02448272705078,84.85772705078125,31.118330001831055,66.77185821533203,41.06230163574219,104.69810485839844,73.78217315673828,48.254371643066406,91.41377258300781,70.2005615234375,27.396564483642578
2016-01-25,74.68267059326172,49.43872833251953,75.773193359375,89.01736450195312,27.98594093322754,54.4200439453125,27.066614151000977,50.308876037597656,47.05374526977539,93.98873138427734,82.95335388183594,30.670787811279297,66.35240173339844,40.58981704711914,102.81637573242188,72.28256225585938,48.197906494140625,89.91238403320312,68.97743225097656,26.942581176757812
