Date,EEM,EFA,HYS,ICF,IEMG,IYR,LQD,SCHB,SCHF,SHYG,SJNK,SPY,TIP,VCIT,VCSH,VEA,VGIT,VGSH,VNQ,VTI,VWO
2015-12-31,30.30670928955078,53.79425811767578,78.15061950683594,89.3653793334961,36.580589294433594,66.97050476074219,102.50508117675781,46.3432731628418,25.47334861755371,37.317474365234375,21.393747329711914,192.1284637451172,103.11444854736328,75.65516662597656,73.35154724121094,33.538753509521484,60.82804489135742,58.30678176879883,69.67308807373047,98.48625183105469,30.305768966674805
2016-01-04,29.478195190429688,52.969757080078125,78.0141372680664,88.17672729492188,35.65191650390625,66.3193588256836,102.45112609863281,45.65340805053711,25.06666374206543,37.18336868286133,21.302141189575195,189.442626953125,103.51871490478516,75.76312255859375,73.30511474609375,33.03640365600586,60.85636520385742,58.277992248535156,68.83415985107422,97.01322174072266,29.444128036499023
2016-01-05,29.544097900390625,52.887306213378906,78.00559997558594,89.98673248291016,35.73549270629883,67.40757751464844,102.50508117675781,45.69120788574219,25.0389347076416,37.20013427734375,21.343778610229492,189.76303100585938,103.45294189453125,75.7811279296875,73.28651428222656,32.99986267089844,60.8752326965332,58.28759002685547,70.16244506835938,97.23039245605469,29.50897979736328
2016-01-06,28.979204177856445,52.01699447631836,77.91175842285156,89.66253662109375,35.094703674316406,67.1845932006836,102.9096450805664,45.12420654296875,24.576791763305664,37.20013427734375,21.360435485839844,187.3693389892578,103.78196716308594,76.02405548095703,73.31440734863281,32.39704513549805,61.24337387084961,58.345176696777344,69.97019958496094,95.92732238769531,28.980876922607422
2016-01-07,28.08478355407715,50.93598556518555,77.66443634033203,88.10468292236328,34.036014556884766,65.68605041503906,102.99057006835938,44.01854705810547,24.123889923095703,37.074440002441406,21.260498046875,182.87403869628906,103.69734191894531,76.06902313232422,73.35154724121094,31.785083770751953,61.22447204589844,58.383548736572266,68.60697937011719,93.57611083984375,28.045114517211914
2016-01-08,27.78350830078125,50.32218933105469,77.52790832519531,87.06009674072266,33.710975646972656,64.9100112915039,103.07147979736328,43.51768493652344,23.8281192779541,37.02415084838867,21.227195739746094,180.86669921875,103.78196716308594,76.09602355957031,73.36082458496094,31.392343521118164,61.3661003112793,58.42194747924805,67.68941497802734,92.50908660888672,27.79496192932129
2016-01-11,27.774093627929688,50.53289031982422,77.50237274169922,87.67243957519531,33.673831939697266,65.16868591308594,102.73882293701172,43.489341735839844,23.902061462402344,36.9990234375,21.21886444091797,181.0457763671875,103.23670959472656,75.96106719970703,73.42584228515625,31.529342651367188,61.26224899291992,58.40273666381836,68.07392120361328,92.45244598388672,27.67451286315918
2016-01-12,27.830581665039062,50.77107620239258,77.50237274169922,87.2221908569336,33.701690673828125,64.7137680053711,102.97258758544922,43.77284622192383,24.00373077392578,37.074440002441406,21.20220947265625,182.50650024414062,103.51871490478516,76.00604248046875,73.42584228515625,31.657217025756836,61.394412994384766,58.412353515625,67.6195068359375,93.08509826660156,27.776426315307617
2016-01-13,27.53871726989746,49.98322296142578,76.78582763671875,86.14159393310547,33.339508056640625,63.73257827758789,103.28727722167969,42.66718673706055,23.634017944335938,36.83979034423828,21.01899528503418,177.95469665527344,103.73495483398438,76.17697143554688,73.44439697265625,31.182262420654297,61.611507415771484,58.46991729736328,66.64950561523438,90.68667602539062,27.4614200592041
2016-01-14,27.896482467651367,50.62450408935547,76.99054718017578,85.988525390625,33.76669692993164,63.64338302612305,102.77478790283203,43.31924057006836,23.911304473876953,36.906837463378906,21.027328491210938,180.8761444091797,103.64093780517578,75.94306182861328,73.41654205322266,31.5476131439209,61.507659912109375,58.479522705078125,66.49222564697266,92.0747299194336,27.813491821289062
2016-01-15,26.79493522644043,48.792266845703125,76.24845886230469,85.5112533569336,32.37368392944336,62.92087936401367,102.6219482421875,42.430938720703125,23.079444885253906,36.638675689697266,20.852449417114258,176.993408203125,103.64093780517578,75.97005462646484,73.43513488769531,30.451576232910156,61.715354919433594,58.53708267211914,66.03781127929688,90.13900756835938,26.646102905273438
2016-01-19,27.19036293029785,49.241172790527344,76.0181655883789,85.988525390625,32.912315368652344,63.10818862915039,102.16341400146484,42.35532760620117,23.273548126220703,36.50457763671875,20.72753143310547,177.22900390625,103.53752899169922,75.69115447998047,73.4072494506836,30.71645164489746,61.64928436279297,58.508304595947266,66.38735961914062,90.0445785522461,27.016700744628906
2016-01-20,26.59722328186035,48.12350845336914,75.28461456298828,83.26000213623047,32.2158088684082,61.43125915527344,102.31627655029297,41.95842361450195,22.774431228637695,36.16936492919922,20.55265235900879,174.95782470703125,103.59393310546875,75.75411224365234,73.4072494506836,30.013160705566406,61.83806610107422,58.56588363647461,64.60467529296875,89.15696716308594,26.451536178588867
2016-01-21,26.700786590576172,48.48079299926758,75.74518585205078,83.78230285644531,32.36439514160156,61.84157180786133,102.01957702636719,42.1285285949707,22.94080352783203,36.32859420776367,20.660911560058594,175.9379119873047,103.21788787841797,75.64617156982422,73.41654205322266,30.241506576538086,61.75310516357422,58.53708267211914,64.96295166015625,89.50634765625,26.497861862182617
2016-01-22,27.614036560058594,49.90993118286133,76.67496490478516,86.06053924560547,33.37665557861328,63.55418014526367,102.08248901367188,42.9979362487793,23.624774932861328,36.83979034423828,20.860774993896484,179.54734802246094,103.36830139160156,75.61917114257812,73.39797973632812,31.118330001831055,61.65871047973633,58.53708267211914,66.77185821533203,91.41377258300781,27.396564483642578
