Date,BNDX,EMLC,FNDA,FNDC,FNDE,FNDF,FNDX,IAU,SCHA,SCHC,SCHE,SCHF,SCHH,SCHP,SCHR,SCHX,SHYG,SPIB,VMBS,VNQI
2015-12-31,49.16908645629883,28.86899757385254,26.837095260620117,24.93756675720215,17.137134552001953,21.96982765197754,26.892967224121094,10.229999542236328,49.87367248535156,26.82246208190918,18.13947296142578,25.47334861755371,36.428932189941406,50.11080551147461,50.68470764160156,45.827415466308594,37.44076156616211,32.007389068603516,48.939422607421875,44.71092987060547
2016-01-04,49.27134704589844,28.6142635345459,26.357343673706055,24.515846252441406,16.67902183532715,21.637788772583008,26.554927825927734,10.380000114440918,48.916221618652344,26.487531661987305,17.600217819213867,25.06666374206543,35.96025466918945,50.24285888671875,50.74143600463867,45.1480827331543,37.306217193603516,32.09355545043945,48.93014907836914,44.238441467285156
2016-01-05,49.24346160888672,28.631242752075195,26.39572525024414,24.543962478637695,16.79121208190918,21.573226928710938,26.658218383789062,10.399999618530273,48.93537139892578,26.385190963745117,17.702491760253906,25.0389347076416,36.658687591552734,50.2239875793457,50.731998443603516,45.242435455322266,37.323036193847656,32.141414642333984,49.022972106933594,44.30843734741211
2016-01-06,49.42943572998047,28.29160499572754,26.031118392944336,24.112871170043945,16.407894134521484,21.1950740814209,26.254446029663086,10.569999694824219,48.21728515625,26.04095458984375,17.395671844482422,24.576791763305664,36.51164627075195,50.42205047607422,50.94947814941406,44.65744400024414,37.323036193847656,32.19887161254883,49.13437271118164,43.757205963134766
2016-01-07,49.355045318603516,28.257654190063477,25.378660202026367,23.775501251220703,15.949782371520996,20.71546173095703,25.700437545776367,10.720000267028809,46.89599609375,25.603683471679688,16.828521728515625,24.123889923095703,35.868350982666016,50.36546325683594,51.034584045410156,43.591243743896484,37.196929931640625,32.218017578125,49.199337005615234,42.80348587036133
2016-01-08,49.34574890136719,28.240659713745117,24.966075897216797,23.400638580322266,15.772148132324219,20.47566032409668,25.39056968688965,10.65999984741211,46.197052001953125,25.31526756286621,16.67046546936035,23.8281192779541,35.326141357421875,50.38432312011719,51.14805603027344,43.100616455078125,37.14647674560547,32.246742248535156,49.23649215698242,42.147254943847656
2016-01-11,49.28996276855469,28.18971824645996,24.87972068786621,23.410009384155273,15.818892478942871,20.52177619934082,25.371784210205078,10.569999694824219,45.986419677734375,25.231536865234375,16.63327407836914,23.902061462402344,35.54670715332031,50.129676818847656,51.09131622314453,43.09117889404297,37.12125778198242,32.22758865356445,49.16222381591797,42.226009368896484
2016-01-12,49.355045318603516,28.18971824645996,24.908510208129883,23.391265869140625,15.772148132324219,20.614009857177734,25.54080581665039,10.520000457763672,46.1013069152832,25.20362663269043,16.66116714477539,24.00373077392578,35.30776596069336,50.233428955078125,51.21424865722656,43.430850982666016,37.196929931640625,32.16057205200195,49.17150115966797,42.26101303100586
2016-01-13,49.46662139892578,28.240659713745117,24.227266311645508,23.12886619567871,15.641255378723145,20.281970977783203,24.9586238861084,10.569999694824219,44.69385528564453,24.831480026245117,16.465919494628906,23.634017944335938,34.87583541870117,50.33717346191406,51.327720642089844,42.33634948730469,36.96149444580078,32.256317138671875,49.227195739746094,41.788516998291016
2016-01-14,49.30855178833008,28.29160499572754,24.49592399597168,23.222579956054688,15.949782371520996,20.577112197875977,25.39995574951172,10.390000343322754,45.23003005981445,24.924516677856445,16.70765495300293,23.911304473876953,34.74718475341797,50.35602951049805,51.299354553222656,42.98739242553711,37.02876281738281,32.179725646972656,49.282894134521484,42.29601287841797
2016-01-15,49.3736572265625,28.036884307861328,24.083341598510742,22.566574096679688,15.248588562011719,19.86692237854004,24.864723205566406,10.510000228881836,44.48321533203125,24.152311325073242,16.04753303527832,23.079444885253906,34.5541877746582,50.31830978393555,51.460105895996094,42.081600189208984,36.75971603393555,32.22758865356445,49.320030212402344,40.9660530090332
2016-01-19,49.22487258911133,27.96895408630371,23.86265754699707,22.63217544555664,15.379478454589844,19.9683780670166,24.817777633666992,10.5,43.94704055786133,23.966238021850586,16.224184036254883,23.273548126220703,34.77475357055664,50.299442291259766,51.431732177734375,42.091033935546875,36.62517166137695,32.13185119628906,49.26432418823242,41.0447998046875
2016-01-20,49.3736572265625,27.799142837524414,23.766708374023438,22.097999572753906,14.968111991882324,19.47954559326172,24.479738235473633,10.640000343322754,43.94704055786133,23.566181182861328,15.908069610595703,22.774431228637695,33.73628616333008,50.34660339355469,51.56412124633789,41.63813400268555,36.28886795043945,32.13185119628906,49.32930374145508,40.082340240478516
2016-01-21,49.42013168334961,27.833106994628906,23.881845474243164,22.172971725463867,15.052255630493164,19.719348907470703,24.639368057250977,10.649999618530273,43.9183235168457,23.69643211364746,15.908069610595703,22.94080352783203,33.956844329833984,50.13910675048828,51.53575897216797,41.81740188598633,36.44861602783203,32.04568099975586,49.30146408081055,40.04733657836914
2016-01-22,49.31785202026367,28.0029239654541,24.41916847229004,22.847719192504883,15.63190746307373,20.364978790283203,25.11825942993164,10.59000015258789,45.000240325927734,24.40350914001465,16.400835037231445,23.624774932861328,34.848270416259766,50.308876037597656,51.41282272338867,42.6477165222168,36.96149444580078,32.083980560302734,49.338600158691406,41.06230163574219
2016-01-25,49.43872833251953,27.98594093322754,23.853065490722656,22.604063034057617,15.323383331298828,19.9683780670166,24.667537689208984,10.710000038146973,44.004493713378906,24.115097045898438,16.159099578857422,23.264305114746094,34.60932922363281,50.308876037597656,51.48846435546875,41.99668502807617,36.557918548583984,32.02653121948242,49.385005950927734,40.58981704711914
