Date,EEM,EFA,IYR,LQD,SHY,TLT,VTI
2003-03-31,,19.75692367553711,19.456806182861328,53.18398666381836,62.0320930480957,49.56584167480469,29.246339797973633
2003-04-01,,20.06439971923828,19.786792755126953,53.471153259277344,62.018585205078125,49.42476272583008,29.669950485229492
2003-04-02,,20.395862579345703,19.997478485107422,53.31570053100586,61.95083236694336,48.90964126586914,30.380844116210938
2003-04-03,,20.2824649810791,19.85025405883789,53.32052993774414,61.98851776123047,48.881629943847656,30.204036712646484
2003-04-04,,20.5550537109375,19.812185287475586,53.189388275146484,61.9734001159668,48.741695404052734,30.310861587524414
2003-04-07,,20.821094512939453,19.977174758911133,53.09221267700195,61.93574142456055,48.629695892333984,30.31454086303711
2003-04-08,,20.82545280456543,19.92641258239746,53.286556243896484,61.995967864990234,49.021636962890625,30.296117782592773
2003-04-09,,20.746944427490234,19.827409744262695,53.46146774291992,62.03362274169922,49.16716384887695,29.94619369506836
2003-04-10,,20.64009666442871,19.888334274291992,53.26713562011719,61.95083236694336,48.937618255615234,30.10457992553711
2003-04-11,,20.522342681884766,19.779178619384766,53.077659606933594,61.920711517333984,48.859249114990234,29.97934341430664
2003-04-14,8.505464553833008,20.834178924560547,20.040634155273438,53.10679244995117,61.867977142333984,48.72488784790039,30.60186004638672
2003-04-15,8.60651969909668,21.119842529296875,20.126943588256836,53.20395278930664,61.91316223144531,48.98804473876953,30.800758361816406
2003-04-16,8.705893516540527,20.980283737182617,20.180252075195312,53.56344223022461,61.920711517333984,49.189613342285156,30.391887664794922
2003-04-17,8.768209457397461,21.28339195251465,20.368091583251953,53.45172882080078,61.867977142333984,49.2679443359375,30.863367080688477
2003-04-21,8.76484203338623,21.20924949645996,20.43154525756836,53.56344223022461,61.905616760253906,49.16160583496094,30.85601234436035
2003-04-22,8.794316291809082,21.5167236328125,20.710773468017578,53.58777618408203,61.89811706542969,49.133583068847656,31.485858917236328
2003-04-23,8.835579872131348,21.706445693969727,20.718385696411133,53.898704528808594,61.94328689575195,49.234397888183594,31.751079559326172
2003-04-24,8.661262512207031,21.536354064941406,20.548309326171875,54.21451187133789,62.0035514831543,49.676719665527344,31.49692153930664
2003-04-25,8.518097877502441,21.15473747253418,20.38078498840332,54.219364166259766,62.06383514404297,49.78874588012695,31.062267303466797
2003-04-28,8.658733367919922,21.529813766479492,20.309707641601562,54.24846267700195,62.04868698120117,49.71031188964844,31.611099243164062
2003-04-29,8.905474662780762,21.654111862182617,20.35793685913086,54.05418014526367,62.0035514831543,49.62630844116211,31.71424102783203
2003-04-30,8.880212783813477,21.765321731567383,20.15740394592285,54.43799591064453,62.131553649902344,50.085472106933594,31.765790939331055
2003-05-01,8.845684051513672,21.854732513427734,20.332550048828125,54.74296188354492,62.131553649902344,50.109718322753906,31.728981018066406
2003-05-02,8.9812650680542,22.04445457458496,20.512767791748047,54.55693435668945,62.06370162963867,49.715641021728516,32.17466735839844
2003-05-05,9.078112602233887,22.212360382080078,20.75138282775879,54.801700592041016,62.108909606933594,49.98020935058594,32.1562614440918
2003-05-06,9.124427795410156,22.68120574951172,20.8681583404541,55.09051513671875,62.19943618774414,50.22792053222656,32.37725830078125
2003-05-07,9.107584953308105,22.471860885620117,20.80976676940918,55.4576530456543,62.21445846557617,50.81330490112305,32.26674270629883
2003-05-08,9.027582168579102,22.133853912353516,20.888460159301758,55.46254348754883,62.184329986572266,50.937156677246094,31.93523597717285
2003-05-09,9.133688926696777,22.412982940673828,21.043296813964844,55.36463165283203,62.169254302978516,50.987850189208984,32.39567184448242
2003-05-12,9.260851860046387,22.591798782348633,21.208297729492188,55.55556869506836,62.21445846557617,51.30870819091797,32.78242111206055
2003-05-13,9.208641052246094,22.589618682861328,21.243833541870117,55.5604133605957,62.19943618774414,51.42124938964844,32.74559783935547
2003-05-14,9.162322998046875,22.596158981323242,21.152454376220703,55.80519485473633,62.237144470214844,52.209327697753906,32.62773132324219
2003-05-15,9.180853843688965,22.635412216186523,21.149911880493164,55.785648345947266,62.21445846557617,52.372554779052734,32.88555908203125
2003-05-16,9.187585830688477,22.91454315185547,21.289535522460938,56.157657623291016,62.28243637084961,52.75535202026367,32.8155632019043
2003-05-19,8.968634605407715,22.29522705078125,21.18544578552246,55.92758560180664,62.29744338989258,52.575191497802734,32.045745849609375
2003-05-20,9.013265609741211,22.517656326293945,21.38344383239746,56.0988883972168,62.38041687011719,53.35201644897461,32.01259994506836
2003-05-21,9.02084732055664,22.28432273864746,21.436752319335938,56.0988883972168,62.29744338989258,53.34636688232422,32.14520263671875
2003-05-22,9.102533340454102,22.583078384399414,21.65251350402832,56.47583770751953,62.32011413574219,53.81920623779297,32.35884094238281
2003-05-23,9.19600772857666,22.711740493774414,21.751510620117188,56.55416488647461,62.34273910522461,53.95432662963867,32.495147705078125
2003-05-27,9.525279998779297,22.908000946044922,21.723583221435547,56.35834884643555,62.32011413574219,52.98048400878906,33.1434211730957
2003-05-28,9.566540718078613,23.01702880859375,21.385984420776367,56.1331672668457,62.357810974121094,52.89046096801758,33.18024444580078
2003-05-29,9.579174995422363,23.126062393188477,20.977306365966797,56.53950119018555,62.38041687011719,53.35201644897461,33.12499237060547
2003-05-30,9.69033432006836,23.169687271118164,21.4113712310791,56.56395721435547,62.357810974121094,53.25071334838867,33.618568420410156
2003-06-02,9.760233879089355,23.385568618774414,21.520526885986328,56.32408905029297,62.325340270996094,52.8595085144043,33.75852966308594
2003-06-03,9.686126708984375,23.4422607421875,21.510358810424805,56.841312408447266,62.446163177490234,53.28348159790039,33.961124420166016
