Date,BNDX,IUSB,IVE,IWN,IWS,LQD,MUB,SHV,VEA,VTI,VTIP,VWO,VWOB
2015-12-31,49.16908645629883,45.29873275756836,82.41592407226562,86.9861831665039,64.33778381347656,102.50508117675781,102.88346862792969,106.85753631591797,33.538753509521484,98.48625183105469,46.133506774902344,30.305768966674805,64.52024841308594
2016-01-04,49.27134704589844,45.37181091308594,81.43844604492188,85.2737045288086,63.756813049316406,102.45112609863281,102.66044616699219,106.85753631591797,33.03640365600586,97.01322174072266,46.047630310058594,29.444128036499023,64.69471740722656
2016-01-05,49.24346160888672,45.30330276489258,81.66187286376953,85.66162109375,63.90673828125,102.50508117675781,102.7812271118164,106.8672103881836,32.99986267089844,97.23039245605469,46.019004821777344,29.50897979736328,64.6685562133789
2016-01-06,49.42943572998047,45.527103424072266,80.44232940673828,84.65873718261719,62.801025390625,102.9096450805664,103.23660278320312,106.84784698486328,32.39704513549805,95.92732238769531,46.019004821777344,28.980876922607422,64.60748291015625
2016-01-07,49.355045318603516,45.481414794921875,78.60838317871094,82.4069595336914,61.423561096191406,102.99057006835938,103.38529205322266,106.85753631591797,31.785083770751953,93.57611083984375,46.05717468261719,28.045114517211914,64.33704376220703
2016-01-08,49.34574890136719,45.559078216552734,77.61229705810547,81.07293701171875,60.692665100097656,103.07147979736328,103.43177032470703,106.8672103881836,31.392343521118164,92.50908660888672,46.11442565917969,27.79496192932129,64.4068374633789
2016-01-11,49.28996276855469,45.367252349853516,77.50988006591797,81.04454040527344,60.4677734375,102.73882293701172,103.2645034790039,106.85753631591797,31.529342651367188,92.45244598388672,46.03809356689453,27.67451286315918,64.30216217041016
2016-01-12,49.355045318603516,45.481414794921875,77.98464965820312,80.82695007324219,60.495880126953125,102.97258758544922,103.30165100097656,106.8672103881836,31.657217025756836,93.08509826660156,46.06671142578125,27.776426315307617,64.13641357421875
2016-01-13,49.46662139892578,45.54538345336914,76.32759094238281,78.54679107666016,59.14653396606445,103.28727722167969,103.34812927246094,106.8672103881836,31.182262420654297,90.68667602539062,46.03809356689453,27.4614200592041,63.72642135620117
2016-01-14,49.30855178833008,45.4722900390625,77.56574249267578,79.41722869873047,59.83058166503906,102.77478790283203,103.16226959228516,106.88662719726562,31.5476131439209,92.0747299194336,46.06671142578125,27.813491821289062,63.639163970947266
2016-01-15,49.3736572265625,45.46773147583008,75.98313903808594,78.07372283935547,58.80919647216797,102.6219482421875,103.47824096679688,106.89633178710938,30.451576232910156,90.13900756835938,46.0285530090332,26.646102905273438,63.089576721191406
2016-01-19,49.22487258911133,45.39923095703125,75.87142181396484,77.26953887939453,58.41564178466797,102.16341400146484,103.46891784667969,106.93511199951172,30.71645164489746,90.0445785522461,46.019004821777344,27.016700744628906,63.264041900634766
2016-01-20,49.3736572265625,45.403778076171875,74.72637176513672,77.17493438720703,57.619144439697266,102.31627655029297,103.6269302368164,106.94479370117188,30.013160705566406,89.15696716308594,46.0285530090332,26.451536178588867,63.141902923583984
2016-01-21,49.42013168334961,45.21651077270508,75.20114135742188,77.156005859375,57.947113037109375,102.01957702636719,103.56187438964844,106.94479370117188,30.241506576538086,89.50634765625,46.00946807861328,26.497861862182617,63.09828567504883
2016-01-22,49.31785202026367,45.321571350097656,76.54170227050781,78.88741302490234,59.24961471557617,102.08248901367188,103.43177032470703,106.92539978027344,31.118330001831055,91.41377258300781,46.07625961303711,27.396564483642578,63.639163970947266
2016-01-25,49.43872833251953,45.234798431396484,75.14529418945312,76.95732116699219,58.022071838378906,101.9745864868164,103.4875259399414,106.92539978027344,30.670787811279297,89.91238403320312,46.08580017089844,26.942581176757812,63.51702880859375
2016-01-26,49.401546478271484,45.54994583129883,76.51378631591797,78.94416046142578,59.333946228027344,102.2623062133789,103.45965576171875,106.92539978027344,31.227933883666992,91.28157043457031,46.07625961303711,27.331707000732422,63.6915168762207
